Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
585,1853177532,1713021601,216747928896,4411644,广岛-原子,@青青罗兰 @-Takeshi- @Elfendis 害怕，第二句简直不要命。,0,0,1,2,1,1,1
1488,1853177532,1712926016,216565404720,674177957,dognight,弱智吧不收弱智,0,0,1,1,1,1,1
681,1853177532,1713011785,216720641808,3546618955565389,追不上光啊,你不干有的是人干！中国什么都缺就是不缺人！,0,0,1,2,1,1,1
1432,1853177532,1712936740,216593413488,104161205,白菜の纳豆丸,我分享这种他们听不懂的话会被骂，被“教育”,0,0,1,1,1,1,1
1251,1853177532,1712962791,216618500800,112204786,D纯爱-自律版,讽刺,0,0,1,2,1,1,1
339,1853177532,1713077185,216834264944,1477349387,笑着笑着醒了,愚者琢磨文字，智者改造世界。,0,0,2,2,1,1,1
98,1853177532,1713156901,216972044368,693955500,呱呱叫不狗叫,没必要吃苦，但一定要能吃苦,1,1,2,2,1,1,1
1320,1853177532,1712946225,216609851152,382091797,妖怪不会做梦,可以鉴赏僵尸文学吗,0,0,2,2,2,1,1
957,1853177532,1712987309,216664169328,399359189,米and新,阿？？？这些话，我感觉都想记下来,0,0,3,3,1,1,1
1283,1853177532,1712952956,216614411200,27746657,狂魔丨煞魂殇,我是真弱智,0,0,1,1,1,1,1
799,1853177532,1713003952,216700579344,39410119,奔跑の路人乙,浑身发麻,1,0,1,2,1,1,1
1279,1853177532,1712954203,216614612960,267256483,阿狸嗯嗯呢,一次的勇敢换来的可能是一生的再见,0,0,2,3,1,1,1
1224,1853177532,1712966962,216622404032,439976090,水煮鱼是怎样,关于第一句，泰戈尔的《飞鸟集》里面也有相似的：根是地下的枝，枝是空中的根。[脱单doge],4,0,2,2,2,2,2
12,1853177532,1713194956,217055909904,22574455,湾湾不统一不改名,你为何在船上倒立？,0,0,2,2,2,1,1
23,1853177532,1713193200,217051364048,195469293,大刘Feng,这些才是,0,0,2,2,1,1,1
1337,1853177532,1712945081,216608816432,22816058,舰长爆爆旭,推荐远瞳老师的希灵三部曲！黎明之剑里面那一句:“大人因为这样吃石头可以活”真的太震撼了,1,3,3,3,1,2,1
