0,1707859091,444874384,人稽,开直播模式有些歌打不了[笑哭],0,1,3,1
1,1703996316,437161770,欧一biang吔,视频中的命令行是不是只是Mac系统？Windows可以直接解压？还有那个安装依赖，命令行在哪里打开,0,1,3,1
2,1703931792,515450184,Viola_tricolor_L,非常好脚本，感谢up[打call][热词系列_三连]支持了,1,0,3,3
3,1700885522,7853183,阵雨之塘,我悟了，直接搞成github actions[doge],0,0,3,3
4,1700329981,36154769,MacHertZ,请问可以输出正方形视频吗？如果按照原视频尺寸输出的话，旋转时会不可避免地裁剪部分画面,0,4,3,3
5,1700329693,36154769,MacHertZ,好好好，AE配合PR剪辑太占用性能了，这个脚本是极好的[Muse Dash_GREAT],0,1,3,3
6,1700147365,13280668,0xdd,太帅了哥[星星眼]牛逼！,0,0,3,3
7,1700046461,336471695,澜轶BM,狠狠支持了,0,0,3,3
8,1700045653,33018255,Cccystar,太帅了哥[星星眼],0,0,3,3
9,1699856140,471285207,和昨天说再见的梓楠歆,晕的不是键，其实是背景，如果能设置背景固定水平不动的话，会好一点吧,2,0,3,3
10,1699077832,33144842,ArsiIksait,还是太麻烦了，直接做成手机软件多好,2,5,3,3
11,1698982896,1571603,令狐大葱,牛逼！,0,0,3,3
12,1698815868,399949035,百合是人类文明之宝,高级,3,0,3,3
13,1698743895,305795844,PabloZ30,支持，帮大忙了,0,0,3,3
14,1698738171,281112620,段友看世界,非常好脚本，使我谱面旋转,21,1,3,3
15,1698664443,472259095,Vivo_Walker,[吃瓜][打call],2,2,3,3
16,1698664369,173472243,鶭靈FallinG,但是我要录的是手元啊[笑哭]，手元录起来是真的折磨,16,5,3,3
17,1698660093,327596612,开心就好-_-,感觉如果可以把这个做成网站会方便很多，虽然可能流量费是个问题,8,3,3,3
18,1698659179,400787588,MtF_R,用中间那个combo框放ae里做跟踪是否也可行,19,3,3,3
19,1698579606,487200954,ocero,大大赛高[星星眼],1,0,3,3
20,1698579483,541100657,北极石Artis,[哦呼],0,0,3,3
21,1698562807,8424400,攀蒲,玩音游的都有编程的需求么（,18,2,3,3
