Unnamed: 0,oid,timestamp,rpid,uid,uname,content,likes,replies,index_qingxu,index_manyi,bool_tiwen,bool_taolun,bool_wangeng
2493,1353039471,1713007679,216709993120,523502077,陈三衿,我随685，这是我明年高考分数[脱单doge],0,0,3,3,1,1,1
6322,1353039471,1712926170,216565923856,1476011903,柠檬aaabc,我随620，争取高考的时候还给一数[脱单doge][脱单doge],0,0,3,3,1,1,1
5375,1353039471,1712935375,216589961184,1199545258,蔚AZ,恭喜小猪老师，新婚快乐！,0,0,3,3,1,1,1
1078,1353039471,1713068258,216811907664,310284602,起于微末之间,恭喜了[爱心],0,0,3,3,1,1,1
257,1353039471,1713151537,216959629168,347553449,不是老实仁,新婚快乐,0,0,3,3,1,1,1
1307,1353039471,1713060035,216792499312,629293811,原始海洋我的家,救命！！嘴角不自觉就上来了,1,0,3,3,1,1,1
6082,1353039471,1712929669,216574698384,3461564950645231,-JunKun,"Hello,everybody,我是神奇小猪
所有的大宝贝儿和小宝贝儿们
今天，小猪我呀～结婚啦",0,1,3,3,1,1,1
382,1353039471,1713107443,216908406544,2056586815,ParasolTree_Sun,99,0,0,3,3,1,1,1
5100,1353039471,1712937461,216595364656,359728540,咸口酸辣葡萄皮,好有夫妻相噢，祝福祝福[给心心],0,0,3,3,1,2,1
3856,1353039471,1712982113,216651235184,3493110134868558,怀_叶,新婚快乐吖～,1,0,3,3,1,1,1
2639,1353039471,1713005561,216704739424,588844674,钦艾德与窝捞宫,?之前不是结过了吗？,0,0,2,2,2,2,1
6667,1353039471,1712922461,216556344512,2067566956,白云想吃白云,新婚快乐[打call],0,0,3,3,1,1,1
431,1353039471,1713104988,216901557808,1380025062,小芒子666,一键三连随上[鼓掌][鼓掌][鼓掌][么么哒],2,0,3,3,1,1,1
5259,1353039471,1712936093,216591850416,1870775077,一定要上630,祝福祝福[脱单doge][打call],0,0,3,3,1,1,1
5951,1353039471,1712931172,216578595520,3461578219326235,花子くん,？开屏暴击[热词系列_啊?][热词系列_啊?][热词系列_啊?],0,0,3,3,1,1,1
683,1353039471,1713082448,216845672896,409047372,uwphlkc,我高三的时候不是发过一次结婚视频吗[思考],0,4,2,2,1,2,1
1245,1353039471,1713062401,216797517376,1041597734,天下第二也挺好i,竟然不是一哥,2,0,2,2,1,2,1
6060,1353039471,1712929884,216575193632,3493092334242747,永远心怀善意,一哥啥时候结啊？,0,0,2,2,2,2,1
3066,1353039471,1712999189,216688954176,161480545,婧怡狸,新婚快乐,0,0,3,3,1,1,1
1814,1353039471,1713020558,216745020272,1512809479,wwworship,我随688，这是我明年的高考分[脱单doge],3,0,3,3,1,1,1
5932,1353039471,1712931313,216578932320,1220833298,Bleeyou,新婚快乐,0,0,3,3,1,1,1
3258,1353039471,1712993627,216677170608,3546577268378367,PRGD,祝福,0,0,3,3,1,1,1
3542,1353039471,1712985861,216660893568,2084084568,小太不太好,新婚快乐,0,0,3,3,1,1,1
7334,1353039471,1712920842,216552254736,1853519376,3min45s,新婚快乐！,0,0,3,3,1,1,1
4993,1353039471,1712938314,216597363168,3493121639844250,寻之逆风,恭喜恭喜,0,0,3,3,1,1,1
1205,1353039471,1713063805,216800883424,544221121,劳驾您好一碗豆腐脑儿,新婚快乐！！！[给心心][给心心],0,0,3,3,1,1,1
972,1353039471,1713070260,216817270864,1563150656,你好我叫刘一,就差一哥了,0,0,3,2,1,2,1
2526,1353039471,1713007250,216709063280,1045668958,纯郁小学生,恭喜^ω^,0,0,3,3,1,1,1
6017,1353039471,1712930547,216576976832,3493280509594364,路过打牌佬,祝一哥百年好合，携手到老。,0,0,3,3,1,1,1
3087,1353039471,1712998681,216687820960,1658815162,我一定能考上一本大学,恭喜，太开心咯[星星眼][星星眼][星星眼],0,0,3,3,1,1,1
3091,1353039471,1712998631,216687720992,1612877027,发疯使人精神振奋,"新婚快乐！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
一定幸福的！！",1,0,3,3,1,1,1
559,1353039471,1713090045,216863624512,635305157,宥钦,随700，我的高考分数,0,0,3,3,1,1,1
1187,1353039471,1713064111,216801537456,1390964786,静谧神藏,祝福啊,0,0,3,3,1,1,1
3483,1353039471,1712986950,216663331200,675114655,Fifty_MooGoh,新婚快乐！,0,0,3,3,1,1,1
2002,1353039471,1713017734,216737000880,176921776,十片壳,我随600 这也是我的高考分数,0,0,3,3,1,1,1
2683,1353039471,1713005065,216703453056,419150674,-热心市民李女士,随666！希望高考过600分！,0,0,3,3,1,1,1
7224,1353039471,1712920946,216552509840,114572306,아권,祝贺祝贺[给心心][给心心][给心心][给心心],0,0,3,3,1,1,1
